dclass,n,mobile,rate,boot_lo,boot_hi,fisher_OR_vs_rest,fisher_p,n_samples,wilson_lo,wilson_hi,BH_q
Sulfonamide,161,62,38.50931677018634,31.146291483406642,46.06168831168831,1.8271134995272926,0.0004420258775567092,107,31.34374809776291,46.21044229541564,0.0017681035102268367
Phenicol,107,37,34.57943925233645,26.46998055420515,43.272405660377345,1.5143539853217272,0.056534232551824166,68,26.24327905771538,43.98446753538622,0.07537897673576556
Macrolide/MLS,626,196,31.309904153354633,27.144912605714755,35.57392466211008,1.3701310283323043,0.0014630003063283285,126,27.800337131219642,35.04745627410205,0.003901334150208876
Aminoglycoside,527,158,29.98102466793169,25.788497217068645,34.20073476702509,1.2552497312682624,0.030814911081808144,127,26.225605882862773,34.026179938698135,0.05438711417118691
Tetracycline,802,193,24.064837905236907,21.119239527519902,27.262798843817354,0.8651119164562884,0.12838670257025026,130,21.23442756224499,27.14251489380663,0.146727660080286
Beta-lactam,588,133,22.61904761904762,19.49565290597113,25.926082862523536,0.7940828402366864,0.03399194635699182,126,19.421545867335873,26.17199186122769,0.05438711417118691
Fluoroquinolone,514,92,17.898832684824903,13.69467056119517,22.12105506018144,0.5703930861444104,1.9632720906156715e-06,106,14.826696417128836,21.447235617682498,1.5706176724925372e-05
Glycopeptide,17,3,17.647058823529413,0.0,35.0,0.6037395440380515,0.5836123823039023,14,6.191126637620995,41.02945856883413,0.5836123823039023
